,text,id,user,name,likes,retweet_count,created_at,source,location,sentiment,tweet_sentiment
0,"@RyanAFournier Oh so now you’re saying it’s OK to look for new votes. I see, before it was stop the vote count now… https://t.co/gqfcjLIgdV",1329175120137527296,RoykoLives,Royko Lives,0,0,2020-11-18 21:30:18,Twitter for iPhone,U.S.,1,positive
1,"I put a baby filter on the debate and it will make you laugh... 
https://t.co/cEXdS3THX2 

#TrumpvsBiden #Trump… https://t.co/HcSo8RaBe2",1328905267870900229,rocheror,Roberto Ornan Roche,0,0,2020-11-18 03:38:00,Twitter Web App,United States,1,positive
2,"I put a baby filter on the debate and it will make you laugh... 
https://t.co/cEXdS3THX2 

#TrumpvsBiden #Trump… https://t.co/YNBlBpaFIp",1328902628798029831,rocheror,Roberto Ornan Roche,0,0,2020-11-18 03:27:31,Twitter Web App,United States,1,positive
3,"RT @PTSDHurtsalot: @realDonaldTrump @JoeBiden 
I'll just leave this right here, whatever you do, don't retweet it. #TrumpvsBiden https://t.…",1328731921086640136,crfc1876,Neil 'DBtC',0,51,2020-11-17 16:09:11,Twitter for Android,Cardiff Arms Park,1,positive
4,"Game is definitely still not over 😁
#TrumpvsBiden https://t.co/WlFYoXRl3r",1328714591568850951,Oliveman77,Olivier Nicolas,0,0,2020-11-17 15:00:19,Twitter Web App,Etats-Unis,-1,negative
5,"RT @PTSDHurtsalot: @realDonaldTrump @JoeBiden 
I'll just leave this right here, whatever you do, don't retweet it. #TrumpvsBiden https://t.…",1328566926872862720,GrandmaBonnieLV,🇺🇸 Bonnie 🇺🇸,0,51,2020-11-17 05:13:33,Twitter for iPhone,,1,positive
6,"RT @PTSDHurtsalot: @realDonaldTrump @JoeBiden 
I'll just leave this right here, whatever you do, don't retweet it. #TrumpvsBiden https://t.…",1328407022824517637,Dangerpotamus,"Why yes, I am anti-fascist.",0,51,2020-11-16 18:38:09,Twitter Web App,"Wisconsin, USA",1,positive
7,"RT @PTSDHurtsalot: @realDonaldTrump @JoeBiden 
I'll just leave this right here, whatever you do, don't retweet it. #TrumpvsBiden https://t.…",1328385583228436480,Mr_Sir_Raider,K-1 Haze🇵🇦,0,51,2020-11-16 17:12:57,Twitter Web App,Mentals & Chicken CA,1,positive
8,"RT @PTSDHurtsalot: @realDonaldTrump @JoeBiden 
I'll just leave this right here, whatever you do, don't retweet it. #TrumpvsBiden https://t.…",1328381712221437952,bistiboomer,BistīBoo,0,51,2020-11-16 16:57:34,Twitter for iPad,,1,positive
9,"RT @PTSDHurtsalot: @realDonaldTrump @JoeBiden 
I'll just leave this right here, whatever you do, don't retweet it. #TrumpvsBiden https://t.…",1328381049555062785,HelenWa22572366,Helen Watson,0,51,2020-11-16 16:54:56,Twitter for Android,,1,positive
