,text,id,user,name,likes,retweet_count,created_at,source,location,sentiment,tweet_sentiment
0,@PPathole @xDreamCoding @garyblack00 That is certainly the intention!,1329129814041776128,elonmusk,Elon Musk,704,27,2020-11-18 18:30:16,Twitter for iPhone,,1,positive
1,https://t.co/Uf0axK7SL7,1329119465733312519,elonmusk,Elon Musk,42954,3409,2020-11-18 17:49:09,Twitter for iPhone,,0,neutral
2,@xDreamCoding @garyblack00 https://t.co/fREZwjCwNa,1329115864826785794,elonmusk,Elon Musk,742,69,2020-11-18 17:34:50,Twitter for iPhone,,0,neutral
3,@garyblack00 The only publicly traded stock I own is Tesla,1329115066801811457,elonmusk,Elon Musk,2333,192,2020-11-18 17:31:40,Twitter for iPhone,,1,positive
4,@garyblack00 Wise words from Bogle. The point of companies is products &amp; services. They have no point in &amp; of thems… https://t.co/eNCU8cBLpy,1329114904817758208,elonmusk,Elon Musk,2274,183,2020-11-18 17:31:01,Twitter for iPhone,,1,positive
5,"@teslaownerssv @AstroJordy @flcnhvy No, just a mild cold. Same with my bro. Def had cov2 though. Pc&lt;20 means viral… https://t.co/UySAnpqtFI",1329103547397496834,elonmusk,Elon Musk,720,26,2020-11-18 16:45:53,Twitter for iPhone,,-1,negative
6,"@Astronomiaum Life in glass domes at first. Eventually, terraformed to support life, like Earth.",1329102718988922883,elonmusk,Elon Musk,3555,124,2020-11-18 16:42:36,Twitter for iPhone,,1,positive
7,@AstroJordy @flcnhvy Yeah,1329099418306482179,elonmusk,Elon Musk,283,14,2020-11-18 16:29:29,Twitter for iPhone,,0,neutral
8,"@Daywalker_xD @Astronomiaum I was going to say “Sim!”, but that seemed too obvious haha",1329094473561894913,elonmusk,Elon Musk,2684,84,2020-11-18 16:09:50,Twitter for iPhone,,1,positive
9,@Astronomiaum Deveras!,1329088067370590208,elonmusk,Elon Musk,18878,996,2020-11-18 15:44:23,Twitter for iPhone,,0,neutral
10,"@flcnhvy And cases with high (non-infectious) Ct should quarantine for a few days, while getting another test. Seco… https://t.co/oAlvZwCMIO",1328978523458068487,elonmusk,Elon Musk,1983,88,2020-11-18 08:29:05,Twitter for iPhone,,-1,negative
11,@tobyliiiiiiiiii So many things you want &amp; some you didn’t know you wanted,1328973775715651584,elonmusk,Elon Musk,4816,162,2020-11-18 08:10:13,Twitter for iPhone,,1,positive
12,@nichegamer Maybe a little Mercy … https://t.co/9iE40HOihr,1328967115605471237,elonmusk,Elon Musk,7085,174,2020-11-18 07:43:46,Twitter for iPhone,,-1,negative
13,Tesla holiday software release is 🔥🔥,1328966577862172672,elonmusk,Elon Musk,80203,2177,2020-11-18 07:41:37,Twitter for iPhone,,0,neutral
14,@StaceyR28715306 @Maisie_Williams 😏,1328965577889689602,elonmusk,Elon Musk,629,13,2020-11-18 07:37:39,Twitter for iPhone,,0,neutral
15,Cobra Kai is a deep cut,1328958594469990407,elonmusk,Elon Musk,62492,2312,2020-11-18 07:09:54,Twitter for iPhone,,0,neutral
16,@archillect It’s all cake &amp; someone took a bite,1328956731024695297,elonmusk,Elon Musk,7969,158,2020-11-18 07:02:30,Twitter for iPhone,,0,neutral
17,@nichegamer There is such a thing as too much sentience,1328951819209502722,elonmusk,Elon Musk,3382,66,2020-11-18 06:42:59,Twitter for iPhone,,1,positive
18,Deus ex machine learning https://t.co/5ZSYalVczx,1328822042506956802,elonmusk,Elon Musk,163031,12927,2020-11-17 22:07:17,Twitter for iPhone,,0,neutral
19,"@peterrhague It’s designed to make life multiplanetary, otherwise extreme overkill for mere Earth sector activity!… https://t.co/yjLTT8pEEu",1328805737842290689,elonmusk,Elon Musk,4609,237,2020-11-17 21:02:30,Twitter for iPhone,,-1,negative
20,@Kristennetten @royalsociety More like he gave it his blessing. It was sort of a groundswell of those who believed… https://t.co/fwK1ziHfEg,1328790573591965701,elonmusk,Elon Musk,976,32,2020-11-17 20:02:15,Twitter for iPhone,,1,positive
21,Nullius in Verba @royalsociety,1328780059960897537,elonmusk,Elon Musk,19334,767,2020-11-17 19:20:28,Twitter for iPhone,,0,neutral
22,@westcoastbill Indeed,1328772099905904640,elonmusk,Elon Musk,973,28,2020-11-17 18:48:50,Twitter for iPhone,,0,neutral
23,@ReflexFunds @nickidk4 @pcgamer Dojo/Doge,1328771222822400001,elonmusk,Elon Musk,819,26,2020-11-17 18:45:21,Twitter for iPhone,,0,neutral
24,"@PPathole @Erdayastronaut @rweb11742 Yeah, looks like marginal cost of launch will be less than $1M for more than 1… https://t.co/rNSJ5FkDXT",1328770804222468097,elonmusk,Elon Musk,2069,127,2020-11-17 18:43:41,Twitter for iPhone,,1,positive
25,@speculawyer @Erdayastronaut @rweb11742 Exactly,1328769437433016322,elonmusk,Elon Musk,814,14,2020-11-17 18:38:15,Twitter for iPhone,,1,positive
26,"@Erdayastronaut @rweb11742 Merlin is a strong local maximum design, but kerosene is suboptimal fuel, no matter what… https://t.co/JoetYsKGp7",1328767073506430977,elonmusk,Elon Musk,2829,116,2020-11-17 18:28:52,Twitter for iPhone,,1,positive
27,"@parstalberg @josh_bickett @ICannot_Enough @Erdayastronaut @rweb11742 Yes, but from a visiting American. Ah, the irony is just too much!!",1328752988740079617,elonmusk,Elon Musk,838,27,2020-11-17 17:32:54,Twitter for iPhone,,1,positive
28,"@josh_bickett @ICannot_Enough @Erdayastronaut @rweb11742 Yeah, PCR Ct was unequivocal at &lt;20. Doesn’t matter what m… https://t.co/YJdogoKX8Q",1328747352400785409,elonmusk,Elon Musk,620,19,2020-11-17 17:10:30,Twitter for iPhone,,0,neutral
29,@flcnhvy @LUGG4S1 @pcgamer Maybe making some notable changes. Will wait until figurative &amp; literal dust settles.,1328746726489018368,elonmusk,Elon Musk,1954,52,2020-11-17 17:08:01,Twitter for iPhone,,1,positive
30,"@ICannot_Enough @Erdayastronaut @rweb11742 Pretty close. Definitely feel 💯 if I take DayQuil. Frankly, this was one… https://t.co/hj0ThLR48N",1328746124220489729,elonmusk,Elon Musk,1061,57,2020-11-17 17:05:37,Twitter for iPhone,,1,positive
31,@LUGG4S1 @pcgamer Avionics cables moving to steel pipe shields &amp; adding water-cooled steel pipes to test pad,1328743239327866881,elonmusk,Elon Musk,2067,77,2020-11-17 16:54:09,Twitter for iPhone,,0,neutral
32,"@LUGG4S1 @pcgamer About 2 secs after starting engines, martyte covering concrete below shattered, sending blades of… https://t.co/vilv1S16Yo",1328742122107904000,elonmusk,Elon Musk,2784,194,2020-11-17 16:49:43,Twitter for iPhone,,1,positive
33,@Erdayastronaut @rweb11742 The most amazing thing about rocket engines is that they *sometimes* don’t blow up! The… https://t.co/EUXoocFR9T,1328740259262304256,elonmusk,Elon Musk,5843,239,2020-11-17 16:42:19,Twitter for iPhone,,1,positive
34,@pcgamer We should just count the atoms at this point,1328737951786934272,elonmusk,Elon Musk,7574,150,2020-11-17 16:33:09,Twitter for iPhone,,0,neutral
35,@DJSnM @Erdayastronaut @CharlesNOtrumps @rweb11742 Absolutely. Production/testing of rocket engines is over 90% of… https://t.co/Tv3piXzp4I,1328734675544707072,elonmusk,Elon Musk,1787,52,2020-11-17 16:20:08,Twitter for iPhone,,1,positive
36,@Erdayastronaut @CharlesNOtrumps @rweb11742 Our first Merlin engine design was really bad tbh. Nothing worked well… https://t.co/Y5njREPvtc,1328732220530581504,elonmusk,Elon Musk,2544,78,2020-11-17 16:10:22,Twitter for iPhone,,-1,negative
37,@billhuang688 @JohnnaCrider1 @timmerenginerd @jack Maybe *I* just love irony haha,1328729321486344201,elonmusk,Elon Musk,887,28,2020-11-17 15:58:51,Twitter for iPhone,,1,positive
38,"@GreenIsClutch @JohnnaCrider1 @timmerenginerd @jack They’re on their way! Hopefully, more Teslaquila next month.",1328729028170293252,elonmusk,Elon Musk,1395,52,2020-11-17 15:57:41,Twitter for iPhone,,1,positive
39,@ChrisG_NSF Special permission received from Stonecutters Guild! https://t.co/SW5RBm1sRB,1328728296587227143,elonmusk,Elon Musk,3629,95,2020-11-17 15:54:47,Twitter for iPhone,,1,positive
40,@JohnnaCrider1 @timmerenginerd @jack Fate 🖤 Irony,1328726273808535552,elonmusk,Elon Musk,1276,63,2020-11-17 15:46:44,Twitter for iPhone,,0,neutral
41,@jack Well said.,1328724979098128392,elonmusk,Elon Musk,2051,60,2020-11-17 15:41:36,Twitter for iPhone,,0,neutral
42,"@trylolli @Maisie_Williams 👻 💵 
https://t.co/UWerAhxUev",1328592219956252673,elonmusk,Elon Musk,905,56,2020-11-17 06:54:03,Twitter for iPhone,,0,neutral
43,"@Erdayastronaut @rweb11742 Damn, that’s not easy! I spent quite a bit of time looking at Russian/Ukrainian engines. They’re good.",1328567334072700928,elonmusk,Elon Musk,9125,175,2020-11-17 05:15:10,Twitter for iPhone,,1,positive
44,@PPathole @michaelmina_lab Yes,1328557805754867713,elonmusk,Elon Musk,722,25,2020-11-17 04:37:18,Twitter for iPhone,,0,neutral
45,RT @SpaceX: Docking confirmed – Crew Dragon has arrived at the @space_station!,1328553209925935104,elonmusk,Elon Musk,0,8460,2020-11-17 04:19:03,Twitter for iPhone,,1,positive
46,@Maisie_Williams 🎶 Toss a bitcoin to ur Witcher 🎶,1328458535340949505,elonmusk,Elon Musk,66411,3427,2020-11-16 22:02:51,Twitter for iPhone,,0,neutral
47,@Kristennetten 😉,1328451518010327042,elonmusk,Elon Musk,2181,37,2020-11-16 21:34:57,Twitter for iPhone,,0,neutral
