,text,id,user,name,likes,retweet_count,date,source,location,sentiment
0,https://t.co/XNxhIEg49E,1329108352006189058,LeoDiCaprio,Leonardo DiCaprio,2106,200,2020-11-18 17:04:59,Twitter Web App,"Los Angeles, CA",0
1,👉 https://t.co/2kQkh8IlXA https://t.co/whjr8pwnjH,1328740358545571841,LeoDiCaprio,Leonardo DiCaprio,3743,376,2020-11-17 16:42:42,Twitter Web App,"Los Angeles, CA",0
2,https://t.co/kVB6dQXLEf,1327626290375999492,LeoDiCaprio,Leonardo DiCaprio,5626,435,2020-11-14 14:55:48,Twitter for iPhone,"Los Angeles, CA",0
3,"The @NG_PristineSeas team conducted an expedition to the archipelago in 2017 in partnership with the Government of Tristan da Cunha and the Royal Society for the Protection of Birds to survey the health of the area’s marine environment.
https://t.co/ynsR8g1u7j",1327334061568770048,LeoDiCaprio,Leonardo DiCaprio,1567,141,2020-11-13 19:34:35,Twitter Web App,"Los Angeles, CA",0
4,"Today, Tristan da Cunha, the most remote inhabited island on Earth, becomes the world’s biggest sanctuary for wildlife in the Atlantic. The Tristan community’s decision  creates a Marine Protection Zone that is the largest in the Atlantic. 

📷 @NG_PristineSeas https://t.co/ERRNwShoEU",1327333913606307840,LeoDiCaprio,Leonardo DiCaprio,5744,639,2020-11-13 19:34:00,Twitter Web App,"Los Angeles, CA",1
5,#Georgia voters 👇 https://t.co/UoFKjSxZrB,1326920050616356864,LeoDiCaprio,Leonardo DiCaprio,4984,538,2020-11-12 16:09:27,Twitter Web App,"Los Angeles, CA",0
6,https://t.co/IDgdDSQ7Kw,1326603556854509568,LeoDiCaprio,Leonardo DiCaprio,5054,320,2020-11-11 19:11:49,Twitter Web App,"Los Angeles, CA",0
7,"In #Antarctica: The Waking Giant, explorer @SebCopeland’s stunning photography delivers unparalleled access to the least explored continent on Earth - and demonstrates the threats of global warming. A must-read. https://t.co/nD2QUMvc2Y",1326568601134931969,LeoDiCaprio,Leonardo DiCaprio,6019,652,2020-11-11 16:52:55,Twitter Web App,"Los Angeles, CA",1
8,#Arizona voters - this deadline is today 👇 https://t.co/CkjopbI2LQ,1326201532769992704,LeoDiCaprio,Leonardo DiCaprio,3949,433,2020-11-10 16:34:19,Twitter Web App,"Los Angeles, CA",0
9,RT @2020uptous: Leave no ballot uncounted. https://t.co/2M46r24guY,1324513449007828998,LeoDiCaprio,Leonardo DiCaprio,0,242,2020-11-06 00:46:29,Twitter for iPhone,"Los Angeles, CA",0
10,#Nevada voters👇 https://t.co/CAK75UKBvE,1324396176184147973,LeoDiCaprio,Leonardo DiCaprio,6409,911,2020-11-05 17:00:29,Twitter for iPhone,"Los Angeles, CA",0
11,#Arizona voters👇 https://t.co/LBBSG70MYz,1324396024950067202,LeoDiCaprio,Leonardo DiCaprio,3364,501,2020-11-05 16:59:53,Twitter for iPhone,"Los Angeles, CA",0
12,#Georgia voters👇 https://t.co/i4IhODviI0,1324395803767644161,LeoDiCaprio,Leonardo DiCaprio,7671,1214,2020-11-05 16:59:00,Twitter for iPhone,"Los Angeles, CA",0
13,RT @MarkRuffalo: Thank you Native People for getting us over the line in key swing states! You deserve to be seen and acknowledged.#NativeC…,1324394349967351808,LeoDiCaprio,Leonardo DiCaprio,0,2995,2020-11-05 16:53:13,Twitter for iPhone,"Los Angeles, CA",0
14,"RT @marceelias: As we enter the post-election period, you may hear certain terms being referenced that relate to the processing and countin…",1324078654733705218,LeoDiCaprio,Leonardo DiCaprio,0,441,2020-11-04 19:58:46,Twitter for iPhone,"Los Angeles, CA",1
15,#NorthCarolina voters 👇 https://t.co/r8qVd5wcyC,1323778245418835968,LeoDiCaprio,Leonardo DiCaprio,6188,991,2020-11-04 00:05:02,Twitter for iPhone,"Los Angeles, CA",0
16,"#Minnesota: The future of our democracy depends on you showing up to the polls today — make your voice heard and make it count. 

Here's what you need to know:

✔️ Find your polling place: https://t.co/s5dzc12TeN
✔️ You can register to vote in-person
✔️ Polls close at 8pm",1323755642474041344,LeoDiCaprio,Leonardo DiCaprio,3915,400,2020-11-03 22:35:14,Twitter for iPhone,"Los Angeles, CA",0
17,Florida voters 👇 https://t.co/1kqypjO3ww,1323752822895095808,LeoDiCaprio,Leonardo DiCaprio,6522,545,2020-11-03 22:24:01,Twitter for iPhone,"Los Angeles, CA",0
18,"You can register to vote today in these states.
More info: https://t.co/ouucvcgFZg @votesaveamerica https://t.co/34AhNfBNhI",1323686931327119360,LeoDiCaprio,Leonardo DiCaprio,2456,338,2020-11-03 18:02:11,Twitter Web App,"Los Angeles, CA",1
19,#VOTE,1323664169434951680,LeoDiCaprio,Leonardo DiCaprio,31134,2527,2020-11-03 16:31:45,Twitter Web App,"Los Angeles, CA",0
20,"Our democracy is founded on the right to vote and the belief that every vote counts. @LeslieOdomJr has this critical message: Election results are worth waiting for: https://t.co/LUbX7bm7ab #WaitForIt
https://t.co/cn7kfGBdns",1323426501916684289,LeoDiCaprio,Leonardo DiCaprio,6077,665,2020-11-03 00:47:20,Twitter Web App,"Los Angeles, CA",1
21,Be a voter. https://t.co/NrPwPU5pa9 https://t.co/y0jjFiQSYt,1322919083248005120,LeoDiCaprio,Leonardo DiCaprio,4958,714,2020-11-01 15:11:02,Twitter Web App,"Los Angeles, CA",0
22,"Will voters choose the President—or The Purge? Investigative reporter @Greg_Palast reminds us that we must save our vote - and our democracy. If you have been purged from the polls, you can still register on #ElectionDay in some states. 
https://t.co/0E5lS0qbqT",1322614319457144832,LeoDiCaprio,Leonardo DiCaprio,2326,321,2020-10-31 19:00:01,Twitter Web App,"Los Angeles, CA",0
